Year,Date,Catchment,River,Site code,Latitude,Longitude,BRUV ID,Time,Bait,Mesohabitat,Microhabitat,Depth,Metric,Eastern longneck turtle (Chelodina longicollis),Murray River turtle (Emydura macquarii),Manning River helmeted turtle (Myuchelys purvisi)
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,1A,12:05,Pilchard,Pool,Open water + Cobbles,1,MaxN,0,0,0
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,1B,11:54,Pilchard,Pool,Overhang,1,MaxN,0,0,0
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,2B,11:55,Pilchard,Pool,Open water + Cobbles,2,MaxN,0,0,1
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,3A,11:59,Liver,Pool,Macrophytes ,0.8,MaxN,0,0,0
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,3B,12:01,Liver,Pool,Snag + Macrophytes,1.1,MaxN,0,0,0
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,4B,11:47,Liver,Run,Open water + Cobbles,0.5,MaxN,0,0,0
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,GP1,12:03,Pilchard,Pool,Snag + Macrophytes,1.6,MaxN,0,0,1
2024,27/02/2024,Manning River,Barnard River,PS 8,-31.7,151.8,GP2,12:12,Liver,Run,Snag + Macrophytes,1,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,1A,8:30,Liver,Pool,Snag,1.3,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,1B,8:36,Liver,Pool,Open water ,1.1,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,2B,9:20,Liver,Pool,Overhang,1,MaxN,0,2,0
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,3A,9:21,Pilchard,Pool,Open water ,2,MaxN,1,0,2
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,3B,8:33,Pilchard,Pool,Open water ,2,MaxN,0,0,2
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,4B,9:22,Pilchard,Pool,Open water + Cobbles,1.5,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,GP1,9:23,Liver,Pool,Open water + Cobbles,3,MaxN,0,0,2
2024,28/02/2024,Manning River,Barrington River,BAR 1,-32,151.7,GP2,8:28,Pilchard,Riffle,Open water + Cobbles,1,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,1A,12:44,Pilchard,Run,Open water + Cobbles,2.2,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,1B,12:42,Liver,Pool,Snag,2.4,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,2B,12:35,Pilchard,Pool,Overhang + Macrophytes,1.8,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,3A,12:27,Liver,Run,Snag,0.9,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,3B,12:39,Pilchard,Pool,Open water + Cobbles,1.5,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,4A,12:39,Pilchard,Pool,Open water,1.5,MaxN,0,0,0
2024,28/02/2024,Manning River,Barrington River,DF 55,-32,151.9,4B,12:37,Liver,Pool,Overhang,3,MaxN,0,0,0
