Month,OTR,% of services cancelled,Untracked trips,Complaints per 100K,Driver Vacancies,Most recent month,Region,Mode,FY,Year
23-Jul,94.90%,1.90%,7.70%,23.2,381,0,GS,Bus,FY24,2023
23-Aug,94.10%,1.30%,7.50%,22,420,0,GS,Bus,FY24,2023
23-Sep,94.70%,1.10%,7.30%,17.4,373,0,GS,Bus,FY24,2023
23-Oct,94.30%,1.00%,8.90%,18.2,320,0,GS,Bus,FY24,2023
23-Nov,93.30%,1.20%,10.60%,19.4,292,0,GS,Bus,FY24,2023
23-Dec,94.50%,0.70%,7.00%,17.4,248,0,GS,Bus,FY24,2023
24-Jan,96.20%,0.60%,8.90%,15.1,257,0,GS,Bus,FY24,2024
24-Feb,91.90%,1.30%,12.30%,30.4,272,0,GS,Bus,FY24,2024
24-Mar,92.80%,0.90%,12.20%,24.8,303,0,GS,Bus,FY24,2024
24-Apr,94.30%,0.70%,8.20%,19.2,294,0,GS,Bus,FY24,2024
24-May,93.20%,1.00%,8.30%,23.3,271,0,GS,Bus,FY24,2024
24-Jun,94.30%,1.00%,7.90%,21.4,263,0,GS,Bus,FY24,2024
24-Jul,95.60%,0.70%,6.90%,18.3,251,0,GS,Bus,FY25,2024
24-Aug,94.10%,0.70%,6.50%,23,231,0,GS,Bus,FY25,2024
24-Sep,94.60%,0.70%,5.60%,20.2,175,0,GS,Bus,FY25,2024
24-Oct,94.50%,0.80%,5.40%,19.6,186,0,GS,Bus,FY25,2024
24-Nov,93.30%,1.10%,4.90%,22.4,176,0,GS,Bus,FY25,2024
24-Dec,94.50%,0.80%,4.90%,18.7,146,0,GS,Bus,FY25,2024
25-Jan,96.30%,0.50%,4.50%,15,135,0,GS,Bus,FY25,2025
25-Feb,92.40%,1.30%,4.90%,30.5,155,0,GS,Bus,FY25,2025
25-Mar,93.00%,1.30%,5.40%,26.9,146,0,GS,Bus,FY25,2025
25-Apr,94.30%,1.00%,4.40%,20,118,0,GS,Bus,FY25,2025
25-May,92.90%,1.40%,4.60%,23.4,132,0,GS,Bus,FY25,2025
25-Jun,94.30%,1.10%,4.70%,20.1,120,0,GS,Bus,FY25,2025
25-Jul,95.60%,1.00%,3.80%,17.3,123,0,GS,Bus,FY26,2025
25-Aug,93.90%,1.20%,4.20%,19.2,125,0,GS,Bus,FY26,2025
25-Sep,94.40%,1.10%,3.90%,17.9,142,0,GS,Bus,FY26,2025
25-Oct,94.50%,1.20%,4.10%,15.8,142,1,GS,Bus,FY26,2025
25-Nov,,,,,,,GS,Bus,FY26,2025
25-Dec,,,,,,,GS,Bus,FY26,2025
26-Jan,,,,,,,GS,Bus,FY26,2026
26-Feb,,,,,,,GS,Bus,FY26,2026
26-Mar,,,,,,,GS,Bus,FY26,2026
26-Apr,,,,,,,GS,Bus,FY26,2026
26-May,,,,,,,GS,Bus,FY26,2026
26-Jun,,,,,,,GS,Bus,FY26,2026
23-Jul,96.60%,0.20%,8.90%,22.7,105,0,ROM,Bus,FY24,2023
23-Aug,96.10%,0.40%,9.80%,29.2,100,0,ROM,Bus,FY24,2023
23-Sep,96.60%,0.50%,9.70%,25.7,99,0,ROM,Bus,FY24,2023
23-Oct,96.10%,0.40%,10.80%,24.6,78,0,ROM,Bus,FY24,2023
23-Nov,96.40%,0.40%,10.90%,24.8,67,0,ROM,Bus,FY24,2023
23-Dec,96.60%,0.20%,5.80%,22.1,61,0,ROM,Bus,FY24,2023
24-Jan,97.90%,0.10%,6.30%,18.4,45,0,ROM,Bus,FY24,2024
24-Feb,94.70%,0.50%,10.90%,39.5,66,0,ROM,Bus,FY24,2024
24-Mar,95.00%,0.60%,14.30%,33.2,76,0,ROM,Bus,FY24,2024
24-Apr,96.00%,0.30%,8.90%,21.1,62,0,ROM,Bus,FY24,2024
24-May,95.20%,0.90%,8.20%,32.3,54,0,ROM,Bus,FY24,2024
24-Jun,96.00%,0.50%,9.40%,27.1,59,0,ROM,Bus,FY24,2024
24-Jul,96.70%,0.40%,6.60%,26.8,39,0,ROM,Bus,FY25,2024
24-Aug,95.70%,0.60%,6.70%,28.5,39,0,ROM,Bus,FY25,2024
24-Sep,96.20%,0.40%,5.00%,25.6,41,0,ROM,Bus,FY25,2024
24-Oct,96.30%,0.50%,5.30%,29.7,52,0,ROM,Bus,FY25,2024
24-Nov,95.60%,0.40%,4.50%,28.9,65,0,ROM,Bus,FY25,2024
24-Dec,96.10%,0.20%,4.10%,27,46,0,ROM,Bus,FY25,2024
25-Jan,97.80%,0.10%,3.60%,18,51,0,ROM,Bus,FY25,2025
25-Feb,94.30%,0.30%,4.00%,43.9,68,0,ROM,Bus,FY25,2025
25-Mar,94.60%,0.30%,4.40%,36.9,42,0,ROM,Bus,FY25,2025
25-Apr,95.40%,1.00%,19.10%,25.1,43,0,ROM,Bus,FY25,2025
25-May,92.90%,0.90%,19.50%,29.4,48,0,ROM,Bus,FY25,2025
25-Jun,94.60%,0.70%,17.20%,31.2,46,0,ROM,Bus,FY25,2025
