STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Age,SEX,Sex,INCP,Total Personal Income (weekly),STATE,State,REGIONTYPE,Geography Level,REGION,LGA 2011,FREQUENCY,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,UNIT_MEASURE,Unit of Measure,OBS_STATUS,Observation Status,OBS_COMMENT,Observation Comment
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T35,35 - 44,2,Females,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,224,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A15,15 - 19,3,Persons,06,$400-$599,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,128,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T55,55 - 64,2,Females,11,"$1,500-$1,999",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,89,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,A20,20 - 24,1,Males,TOT,Total,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,1152,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T75,75 - 84,2,Females,03,$1-$199,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,23,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,O85,85 years and over,3,Persons,11,"$1,500-$1,999",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,14,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,2,Females,05,$300-$399,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,139,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T75,75 - 84,2,Females,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,11,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,T25,25 - 34,1,Males,04,$200-$299,1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,129,,PSNS,Persons,,,,
DATAFLOW,ABS:ABS_CENSUS2011_B17_LGA(1.0.0),B17 Total Personal Income (weekly) by Age by Sex (LGA),I,O15,15 years and over,3,Persons,12,"$2,000 or more",1,New South Wales,LGA2011,Local Government Areas (2011),10110,Armidale Dumaresq (A),A,Annual,2011,,702,,PSNS,Persons,,,,
